"","longitude_left","latitude_left","geometry","datetime_left","index_right","longitude_right","latitude_right","datetime_right"
"2293","76.8819274","8.5569769","POINT (76.8819274 8.5569769)","2020-03-05 07:04:08","4198","76.8819263","8.5569747","2020-03-13 07:14:10"
"2294","76.88193299999999","8.5569753","POINT (76.88193299999999 8.5569753)","2020-03-05 07:04:28","4198","76.8819263","8.5569747","2020-03-13 07:14:10"
"2303","76.8818963","8.5569271","POINT (76.88189629999999 8.556927099999999)","2020-03-05 07:08:08","4000","76.8818946","8.556918","2020-03-12 13:33:17"
"10741","76.8818939","8.5569104","POINT (76.88189389999999 8.5569104)","2020-03-10 13:03:55","4000","76.8818946","8.556918","2020-03-12 13:33:17"
"2307","76.88192","8.556936199999999","POINT (76.88191999999999 8.556936199999999)","2020-03-05 07:09:34","333","76.88191499999999","8.5569282","2020-03-05 12:27:06"
"2313","76.8819221","8.5569338","POINT (76.8819221 8.556933799999999)","2020-03-05 07:11:55","333","76.88191499999999","8.5569282","2020-03-05 12:27:06"
"2308","76.8819044","8.556895899999999","POINT (76.8819044 8.556895899999999)","2020-03-05 07:09:54","4196","76.88191429999999","8.5568967","2020-03-13 07:10:04"
"11817","76.88191139999999","8.5568879","POINT (76.88191139999999 8.5568879)","2020-03-11 06:33:45","4196","76.88191429999999","8.5568967","2020-03-13 07:10:04"
"2327","76.8819066","8.5567561","POINT (76.88190659999999 8.556756099999999)","2020-03-05 07:16:40","560","76.8818994","8.5567503","2020-03-06 08:55:31"
"2370","76.8818989","8.556752699999999","POINT (76.8818989 8.556752699999999)","2020-03-05 07:31:40","560","76.8818994","8.5567503","2020-03-06 08:55:31"
"9733","76.88189609999999","8.5567583","POINT (76.88189609999999 8.5567583)","2020-03-10 07:54:29","560","76.8818994","8.5567503","2020-03-06 08:55:31"
"10254","76.8818977","8.5567485","POINT (76.8818977 8.556748499999999)","2020-03-10 10:38:56","560","76.8818994","8.5567503","2020-03-06 08:55:31"
"10605","76.8819032","8.5567503","POINT (76.8819032 8.556750299999999)","2020-03-10 12:23:41","560","76.8818994","8.5567503","2020-03-06 08:55:31"
"13860","76.8819048","8.5567444","POINT (76.8819048 8.556744399999999)","2020-03-13 11:34:25","560","76.8818994","8.5567503","2020-03-06 08:55:31"
"2327","76.8819066","8.5567561","POINT (76.88190659999999 8.556756099999999)","2020-03-05 07:16:40","570","76.8819051","8.5567633","2020-03-06 10:08:26"
"2398","76.8819012","8.5567685","POINT (76.8819012 8.5567685)","2020-03-05 07:41:10","570","76.8819051","8.5567633","2020-03-06 10:08:26"
"11941","76.8819066","8.5567608","POINT (76.88190659999999 8.556760799999999)","2020-03-11 10:54:38","570","76.8819051","8.5567633","2020-03-06 10:08:26"
"2327","76.8819066","8.5567561","POINT (76.88190659999999 8.556756099999999)","2020-03-05 07:16:40","3577","76.8819125","8.5567502","2020-03-11 05:19:57"
"2332","76.8819196","8.556743899999999","POINT (76.8819196 8.556743899999999)","2020-03-05 07:18:25","3577","76.8819125","8.5567502","2020-03-11 05:19:57"
"2369","76.8819113","8.5567525","POINT (76.8819113 8.5567525)","2020-03-05 07:31:20","3577","76.8819125","8.5567502","2020-03-11 05:19:57"
"10605","76.8819032","8.5567503","POINT (76.8819032 8.556750299999999)","2020-03-10 12:23:41","3577","76.8819125","8.5567502","2020-03-11 05:19:57"
"13860","76.8819048","8.5567444","POINT (76.8819048 8.556744399999999)","2020-03-13 11:34:25","3577","76.8819125","8.5567502","2020-03-11 05:19:57"
"13873","76.8819106","8.5567546","POINT (76.8819106 8.5567546)","2020-03-13 12:21:25","3577","76.8819125","8.5567502","2020-03-11 05:19:57"
"2327","76.8819066","8.5567561","POINT (76.88190659999999 8.556756099999999)","2020-03-05 07:16:40","3898","76.8818996","8.5567516","2020-03-12 06:12:25"
"2370","76.8818989","8.556752699999999","POINT (76.8818989 8.556752699999999)","2020-03-05 07:31:40","3898","76.8818996","8.5567516","2020-03-12 06:12:25"
"9733","76.88189609999999","8.5567583","POINT (76.88189609999999 8.5567583)","2020-03-10 07:54:29","3898","76.8818996","8.5567516","2020-03-12 06:12:25"
"10254","76.8818977","8.5567485","POINT (76.8818977 8.556748499999999)","2020-03-10 10:38:56","3898","76.8818996","8.5567516","2020-03-12 06:12:25"
"10605","76.8819032","8.5567503","POINT (76.8819032 8.556750299999999)","2020-03-10 12:23:41","3898","76.8818996","8.5567516","2020-03-12 06:12:25"
"13860","76.8819048","8.5567444","POINT (76.8819048 8.556744399999999)","2020-03-13 11:34:25","3898","76.8818996","8.5567516","2020-03-12 06:12:25"
"2327","76.8819066","8.5567561","POINT (76.88190659999999 8.556756099999999)","2020-03-05 07:16:40","3908","76.8818996","8.5567573","2020-03-12 06:51:24"
"2370","76.8818989","8.556752699999999","POINT (76.8818989 8.556752699999999)","2020-03-05 07:31:40","3908","76.8818996","8.5567573","2020-03-12 06:51:24"
"9733","76.88189609999999","8.5567583","POINT (76.88189609999999 8.5567583)","2020-03-10 07:54:29","3908","76.8818996","8.5567573","2020-03-12 06:51:24"
"10254","76.8818977","8.5567485","POINT (76.8818977 8.556748499999999)","2020-03-10 10:38:56","3908","76.8818996","8.5567573","2020-03-12 06:51:24"
"10605","76.8819032","8.5567503","POINT (76.8819032 8.556750299999999)","2020-03-10 12:23:41","3908","76.8818996","8.5567573","2020-03-12 06:51:24"
"11941","76.8819066","8.5567608","POINT (76.88190659999999 8.556760799999999)","2020-03-11 10:54:38","3908","76.8818996","8.5567573","2020-03-12 06:51:24"
"2327","76.8819066","8.5567561","POINT (76.88190659999999 8.556756099999999)","2020-03-05 07:16:40","3983","76.88190569999999","8.5567655","2020-03-12 12:05:41"
"2398","76.8819012","8.5567685","POINT (76.8819012 8.5567685)","2020-03-05 07:41:10","3983","76.88190569999999","8.5567655","2020-03-12 12:05:41"
